part_category,current_stock,previous_month_demand,average_monthly_demand,vehicle_sales,seasonal_index,lead_time_days,next_month_demand
3,267,79,349,915,1.41,44,281
4,365,340,292,943,0.88,11,331
1,156,116,170,303,0.84,20,171
3,482,81,112,645,1.21,42,172
1,319,288,337,235,1.48,35,285
3,395,316,125,739,0.9,2,230
3,241,253,146,474,0.9,23,209
2,436,72,339,742,0.81,8,242
3,55,72,214,716,1.39,12,204
1,74,174,122,993,0.88,12,220
0,263,196,41,539,1.1,28,162
0,371,399,173,407,1.49,10,266
2,408,135,345,574,0.71,12,256
4,231,101,174,246,1.15,11,160
0,331,379,256,200,1.11,17,268
2,285,86,118,567,1.35,30,150
3,481,39,280,842,0.98,19,228
1,333,186,280,579,1.03,16,235
3,220,178,228,803,0.83,24,253
1,485,259,279,260,1.29,28,247
4,71,354,219,504,1.33,2,286
2,492,375,157,651,0.81,40,259
2,93,137,268,412,1.01,41,247
0,158,392,298,112,1.41,27,305
2,414,264,300,166,0.7,26,230
4,372,55,106,934,0.94,31,174
0,485,377,249,644,1.14,20,296
3,379,81,41,338,0.97,17,139
2,325,247,217,332,0.92,17,226
3,186,322,217,135,1.07,8,239
3,22,122,152,950,0.85,38,240
2,79,130,348,197,1.12,15,216
1,162,206,313,783,1.27,14,295
3,39,357,51,316,1.16,43,247
0,263,112,104,402,0.77,23,127
2,393,275,104,346,1.38,28,180
0,482,197,318,842,0.84,12,264
3,255,71,200,129,1.31,13,171
3,440,293,265,417,0.99,33,275
0,493,338,291,351,1.33,21,273
3,432,242,277,345,0.87,8,234
2,243,95,67,273,0.85,37,106
3,176,87,83,921,1.1,19,180
0,489,186,162,440,0.73,30,189
0,136,217,144,476,0.88,16,206
2,217,234,271,446,1.28,26,271
0,55,120,88,982,1.37,35,182
1,400,215,155,405,0.76,40,173
3,331,139,113,407,1.41,10,170
0,60,283,98,395,1.34,30,194
3,126,324,93,394,1.4,41,234
0,286,271,100,180,1.26,29,182
0,279,30,214,643,1.24,8,156
2,404,397,167,122,1.12,10,226
3,147,38,174,303,1.22,10,146
0,463,399,188,281,1.44,6,263
1,233,41,269,362,0.78,34,188
4,414,221,307,780,0.95,43,306
4,134,69,203,639,0.76,24,194
2,37,65,239,991,1.46,27,240
2,46,282,268,416,1.06,35,269
1,198,299,254,935,1.24,19,308
3,477,73,81,140,1.37,22,108
2,43,391,344,553,1.49,27,374
1,197,148,91,818,0.83,15,150
0,72,147,167,578,1.34,4,187
0,467,139,242,939,1.41,26,259
4,344,200,165,383,0.74,37,199
2,386,95,115,129,1.3,5,99
2,362,187,326,796,0.98,11,309
2,335,107,62,161,1.22,13,104
3,391,49,116,788,1.11,36,166
0,23,166,347,760,0.91,23,291
0,435,278,266,859,0.81,24,278
1,375,312,66,531,0.79,29,187
2,374,160,273,905,0.78,13,280
3,208,149,340,252,1.21,32,264
2,404,321,70,490,0.98,3,207
2,203,282,168,209,0.87,6,213
4,43,337,185,790,1.25,37,300
0,455,365,80,742,1.25,30,256
2,132,333,102,825,1.13,9,247
2,68,376,93,787,1.45,20,283
2,318,184,97,377,1.01,4,135
4,132,176,165,161,1.37,30,170
1,431,148,183,936,0.76,34,220
4,233,117,113,543,1.29,13,163
1,22,307,129,184,1.49,17,195
2,476,294,99,934,1.38,12,251
2,267,326,286,994,1.16,18,365
4,146,91,105,500,1.2,13,175
2,345,211,321,793,0.98,12,285
1,274,112,207,132,1.24,20,163
0,34,360,288,183,1.32,38,310
1,384,128,237,348,1.5,34,217
4,212,83,122,690,1.09,14,168
0,355,240,226,220,0.75,42,210
4,449,355,124,130,1.18,11,219
2,313,368,76,701,0.8,41,250
0,342,65,118,793,0.9,15,145
1,142,150,125,765,0.96,25,192
2,134,86,81,819,1.28,10,182
1,219,143,47,822,0.85,34,176
0,429,227,332,642,0.83,15,277
3,271,133,199,567,0.74,39,223
3,187,54,164,871,1.4,5,191
0,394,218,328,413,1.25,23,282
1,429,49,109,188,0.73,8,90
1,453,113,164,776,0.72,40,222
3,163,30,302,348,1.15,19,185
3,360,62,235,980,0.93,31,216
3,303,191,163,472,1.18,39,216
4,235,344,119,866,1.05,25,282
3,210,316,50,138,1.44,4,206
1,74,66,66,693,0.93,11,125
0,151,42,90,503,1.24,11,130
3,283,155,283,516,0.74,41,254
4,445,271,238,338,1.46,41,273
4,435,306,174,974,1.48,22,285
1,110,334,282,453,1.29,40,327
1,346,156,89,865,1.07,12,195
0,60,92,105,482,0.88,31,149
0,344,39,161,143,1.35,18,117
2,184,84,324,891,1.29,12,269
2,235,54,230,266,0.88,12,155
1,364,348,303,343,1.06,20,300
1,223,129,116,874,1.07,16,188
4,407,334,302,904,1.36,11,337
2,276,234,62,925,1.25,16,201
4,499,229,110,483,1.21,7,182
4,326,198,202,781,1.22,43,262
1,162,333,55,395,0.92,18,196
1,392,46,306,766,1.0,6,217
4,215,64,308,552,0.74,26,229
3,276,186,207,146,1.33,39,198
1,85,175,134,475,1.05,17,202
3,77,231,70,520,1.05,38,194
2,295,302,231,331,0.9,28,246
4,109,247,206,437,0.87,33,253
1,498,125,275,552,1.17,14,193
4,430,151,226,144,0.89,3,167
4,356,308,79,236,0.75,16,195
0,372,104,77,790,1.31,41,140
0,305,216,282,416,1.0,35,258
2,48,229,89,647,1.0,35,227
0,208,307,330,609,1.05,39,313
1,257,294,72,596,1.35,18,216
2,459,201,265,472,0.96,15,246
4,125,144,342,534,1.31,41,280
4,258,166,176,841,1.45,26,256
0,185,182,57,968,1.23,14,183
4,84,111,311,331,1.05,13,227
0,69,261,98,702,1.3,39,219
3,195,107,203,972,1.07,4,233
4,59,270,345,106,1.03,4,295
4,52,308,270,806,1.12,33,330
1,188,385,54,547,0.95,2,206
4,116,73,294,970,0.78,9,241
0,286,311,89,620,1.03,44,226
2,28,61,272,854,0.8,20,253
2,164,154,232,249,1.03,33,208
1,237,95,129,227,1.15,22,128
0,482,90,171,933,1.44,5,202
3,324,94,76,573,0.73,9,126
1,442,46,345,602,1.2,34,224
3,184,334,113,252,1.07,6,204
2,235,52,135,304,0.72,27,138
1,221,177,195,836,0.9,16,199
4,445,288,248,372,0.79,17,262
0,480,396,196,625,0.87,42,277
3,481,345,196,384,0.92,28,249
3,380,80,220,337,1.02,28,194
1,261,395,305,249,1.12,17,298
1,279,271,162,936,0.7,18,242
0,490,96,297,946,0.83,31,237
4,156,196,283,203,0.77,3,233
4,186,369,337,417,1.14,12,333
1,450,175,323,607,0.96,27,238
0,205,97,287,444,1.14,28,203
0,132,353,116,748,0.88,5,263
0,289,382,280,334,0.72,35,290
4,176,390,268,152,1.45,25,314
4,447,383,129,403,0.79,12,236
0,456,352,250,638,0.8,34,278
3,166,198,118,262,0.82,44,197
0,274,101,202,834,1.49,20,213
1,492,258,286,111,1.19,14,227
2,376,111,98,160,1.19,14,131
3,123,205,144,557,1.49,27,218
4,303,272,286,561,0.77,4,272
0,317,380,180,365,1.48,22,265
0,333,136,337,332,0.86,3,218
1,32,123,42,162,1.2,3,110
1,163,301,263,696,1.04,20,321
4,430,32,292,441,1.01,34,202
3,135,239,324,206,1.44,39,255
1,163,305,88,459,0.82,5,202
4,174,233,345,943,1.5,12,346
2,105,172,161,335,1.0,20,187
2,94,336,149,905,1.22,26,295
2,186,167,150,332,1.47,44,195
0,439,292,237,267,0.75,31,228
4,20,201,244,334,1.44,25,261
0,155,39,186,390,1.15,4,136
0,49,226,62,208,1.26,5,140
1,289,48,345,628,0.82,8,257
1,140,374,108,400,1.13,30,233
0,400,252,69,746,1.24,16,196
0,300,167,225,541,1.06,12,192
3,396,209,167,498,0.82,30,207
4,324,259,230,523,0.9,37,250
0,230,126,311,240,1.38,20,214
1,433,136,70,741,0.73,39,164
2,248,184,128,193,1.27,33,176
4,475,125,200,749,1.5,32,235
3,497,310,284,999,0.71,39,302
3,302,68,226,787,0.83,9,223
2,343,335,158,509,1.24,34,242
2,142,158,229,383,0.75,43,230
0,411,237,343,885,1.17,44,329
4,342,88,188,331,1.25,26,181
4,453,172,313,534,1.17,34,255
0,148,309,281,793,0.99,40,317
3,398,130,133,930,1.26,38,206
0,245,78,117,928,1.18,40,180
3,108,223,278,178,0.87,37,241
4,102,90,104,908,1.15,18,167
0,289,146,144,202,1.41,33,172
2,173,196,112,626,1.23,19,200
0,68,238,227,936,1.08,36,278
2,225,266,131,689,0.96,36,228
4,333,280,244,952,0.77,42,311
0,173,342,329,409,0.9,27,297
1,478,54,297,383,0.71,22,151
4,394,164,333,393,1.49,9,267
1,266,30,47,419,0.88,29,93
0,468,33,181,714,1.35,26,162
2,227,108,108,507,0.83,24,135
2,87,251,324,763,0.93,31,317
3,37,360,260,474,1.03,38,298
1,470,316,139,376,0.96,8,196
4,480,269,214,271,1.34,20,229
2,374,317,227,595,1.47,33,299
1,69,93,193,908,1.4,37,225
4,160,340,187,873,0.82,35,299
4,39,359,57,327,1.32,36,256
2,44,65,180,529,0.82,38,179
0,138,203,147,734,1.43,43,236
2,294,337,293,651,1.11,28,315
2,51,206,308,160,0.97,12,235
0,492,340,272,631,0.83,26,261
3,238,376,49,134,0.71,32,203
4,146,205,300,204,0.9,6,248
0,267,52,162,688,1.43,34,171
3,399,155,169,192,1.34,25,173
0,170,109,332,405,1.48,42,255
3,42,205,308,629,0.78,11,260
2,44,246,55,689,1.17,40,204
0,428,201,151,501,0.91,21,169
4,73,102,272,184,1.13,26,230
0,325,141,207,819,0.96,30,228
2,204,281,119,954,0.93,26,227
0,393,39,202,899,1.16,40,173
4,49,109,308,773,0.85,9,260
3,450,360,109,461,1.08,33,232
4,355,66,271,888,1.22,43,232
2,235,183,267,539,0.8,11,259
2,119,106,314,222,1.44,12,227
3,489,68,132,865,1.1,22,178
3,164,186,106,388,1.36,33,180
4,255,222,209,944,1.22,43,295
0,209,95,204,431,1.27,36,179
3,130,58,166,882,1.27,36,203
0,219,79,281,583,1.4,20,226
1,92,271,287,520,1.19,29,270
4,20,348,116,367,0.92,11,258
1,159,96,286,852,0.78,21,242
3,73,148,111,154,1.19,10,166
2,219,157,166,521,0.75,3,169
1,434,163,48,431,0.89,38,120
1,98,120,145,589,0.75,36,163
2,20,50,337,329,1.14,23,224
3,73,224,177,698,0.83,2,236
3,263,162,260,447,1.19,5,224
4,151,156,73,269,1.33,6,138
4,254,127,237,277,1.36,32,196
3,34,373,155,726,0.95,10,287
3,179,255,270,335,1.14,12,255
1,216,184,327,376,1.15,39,253
2,227,105,204,664,1.08,39,228
0,284,326,71,396,1.22,34,203
1,394,358,187,449,0.87,15,266
4,244,41,78,320,1.48,26,116
2,423,373,179,410,0.78,10,251
0,274,288,58,723,1.36,38,216
3,144,66,238,580,1.18,5,182
4,129,308,136,997,0.9,34,303
4,174,69,102,794,1.3,23,175
1,306,48,45,115,0.77,34,74
2,136,72,315,440,1.32,21,219
2,458,200,299,360,1.17,8,238
1,250,259,291,628,0.79,34,271
1,434,180,58,339,0.76,29,142
1,347,75,148,969,1.3,21,196
4,180,103,341,369,0.93,18,244
3,129,345,219,569,1.41,16,317
4,377,386,79,210,1.31,22,238
4,178,309,83,918,1.26,13,268
4,138,68,121,920,0.92,14,166
0,466,333,341,814,1.27,13,327
4,251,286,92,416,1.46,2,201
0,43,224,319,152,0.77,41,257
2,257,82,250,739,0.96,12,215
2,241,398,325,486,0.89,9,315
1,434,193,296,991,1.01,8,277
0,361,46,142,728,1.29,44,144
0,111,107,296,584,1.08,22,231
4,92,178,92,988,1.16,16,204
1,309,53,130,820,0.95,19,164
1,42,149,105,512,0.81,5,164
4,173,203,81,116,0.91,15,172
0,86,380,67,183,1.39,12,220
4,29,61,98,499,1.18,36,151
4,461,243,77,605,1.0,4,198
2,63,368,157,127,1.33,20,230
0,24,328,62,213,0.75,35,173
0,467,372,58,733,0.9,37,231
1,110,93,346,776,0.88,24,236
2,411,326,67,126,1.49,11,183
0,35,392,62,556,1.26,16,229
2,93,150,49,172,1.19,11,124
0,73,214,81,751,0.7,30,178
2,359,226,203,850,0.85,14,252
0,317,212,296,882,1.21,29,290
3,248,137,267,638,1.0,30,259
0,135,389,219,666,1.44,42,320
0,62,383,66,933,1.31,17,261
0,293,170,280,651,1.06,43,248
4,130,327,51,501,1.3,19,208
0,303,177,235,779,1.48,31,257
2,349,324,166,631,1.07,30,267
2,427,246,313,858,1.21,37,342
2,257,203,135,572,1.43,22,203
3,22,77,237,882,0.9,36,234
4,154,272,176,140,1.41,17,220
1,429,148,201,132,0.78,23,159
4,275,110,331,189,1.22,23,233
1,317,101,260,600,1.33,32,221
4,239,393,168,738,1.19,28,321
2,98,68,178,294,1.1,5,144
3,450,325,258,240,1.19,36,283
4,391,350,147,874,0.82,34,289
3,497,41,92,775,0.87,6,129
4,430,248,184,683,0.92,43,246
2,159,243,61,539,1.18,30,222
0,142,162,92,478,1.05,5,144
2,139,276,170,118,0.9,23,209
0,461,181,286,269,1.41,37,218
4,287,192,282,907,1.0,14,308
1,238,189,120,405,1.06,42,191
1,484,326,170,734,1.03,19,249
1,309,264,87,733,0.85,11,208
3,456,170,274,378,1.29,17,234
2,492,372,116,283,1.06,24,215
4,58,326,287,722,0.71,31,336
2,193,375,301,184,1.47,41,320
1,372,300,253,545,1.35,10,278
0,410,174,142,899,1.28,43,218
0,91,315,335,740,1.4,24,347
1,172,151,252,787,1.43,7,254
4,283,130,240,174,0.97,41,197
2,403,196,305,279,1.19,17,232
4,74,388,313,347,1.19,28,360
0,308,240,64,363,0.91,32,146
0,162,171,313,274,0.88,2,228
4,123,200,277,974,0.79,11,289
0,267,137,104,248,1.23,31,160
0,218,273,135,737,1.32,15,226
2,325,159,273,628,1.31,2,235
4,172,235,107,649,0.95,3,199
3,415,166,180,293,0.86,37,185
0,57,148,253,376,1.06,8,193
4,433,388,241,645,1.14,6,307
4,34,157,322,369,1.44,26,246
4,373,56,74,724,1.4,7,148
4,186,170,131,135,1.43,30,170
1,204,226,345,165,1.38,25,250
4,29,65,216,755,1.47,29,243
1,357,143,117,655,1.07,23,157
4,99,91,129,138,0.74,35,145
2,336,215,145,909,0.77,29,220
3,368,297,211,104,1.01,19,244
3,425,388,128,959,0.91,2,291
3,359,173,232,756,0.84,13,224
3,164,349,178,989,1.46,7,306
3,374,109,229,953,0.86,2,232
3,416,318,88,381,1.47,13,210
0,172,238,233,780,1.31,10,266
4,79,310,326,289,1.21,5,322
2,447,309,81,524,1.24,15,199
1,91,226,141,316,0.97,23,193
2,305,125,254,537,1.22,9,229
4,133,224,231,885,0.85,13,287
4,80,335,249,492,1.45,2,304
4,392,389,213,183,0.94,4,258
2,88,373,251,392,0.9,8,271
3,341,97,228,807,1.27,21,213
1,352,251,62,569,1.23,30,192
3,48,68,272,604,1.06,35,226
3,103,277,178,488,1.21,29,255
1,401,397,55,363,0.83,28,220
1,263,49,166,638,1.24,42,157
0,78,272,174,669,0.92,12,239
0,496,379,66,908,0.92,36,248
2,147,343,348,656,0.83,42,339
2,21,175,108,995,0.97,26,240
0,463,68,142,843,0.97,38,176
2,27,371,176,170,1.06,7,253
3,285,370,298,452,0.85,39,340
1,496,244,270,446,0.85,26,224
1,297,392,278,102,1.13,11,280
1,300,31,113,262,0.8,4,95
2,206,258,302,785,1.25,32,304
1,80,44,297,416,1.46,20,214
3,294,376,183,233,1.04,15,241
1,450,281,209,358,1.42,18,246
2,63,367,51,347,0.78,44,227
1,442,238,275,257,0.73,20,228
0,219,60,337,191,1.28,5,174
3,277,39,186,787,1.31,14,177
1,99,154,207,842,1.37,8,248
1,318,305,194,546,0.75,31,248
3,107,85,65,653,1.32,36,127
4,151,345,232,927,1.0,38,349
3,366,118,263,858,0.94,29,246
4,44,213,327,129,0.84,35,252
4,234,105,328,957,1.5,19,306
2,305,202,192,160,0.75,28,175
3,83,197,337,123,1.36,6,250
1,161,32,203,462,1.21,25,169
2,184,240,239,771,1.29,25,303
2,338,321,226,172,1.27,3,263
4,488,376,349,363,1.39,25,343
4,421,152,268,336,0.85,33,223
2,111,355,77,457,0.7,17,227
3,28,355,62,987,1.18,25,261
1,44,395,167,398,0.98,14,276
4,305,168,199,288,0.8,13,180
2,95,344,247,210,0.85,7,267
2,131,239,189,278,0.97,16,211
3,426,51,199,219,0.76,36,146
3,439,130,325,616,0.75,42,252
0,422,278,143,478,1.43,29,183
1,141,89,192,548,0.95,28,184
0,317,190,212,848,1.49,28,260
3,313,316,185,622,1.47,22,283
0,108,85,340,239,0.81,20,206
1,285,213,338,439,1.27,28,297
2,272,109,199,381,1.18,35,189
3,210,228,179,844,1.25,19,265
2,380,119,222,376,0.78,26,193
4,345,387,96,224,0.85,22,226
4,275,58,172,762,0.76,14,167
0,368,386,107,485,1.18,14,206
4,386,322,84,186,1.49,5,195
3,292,346,69,720,1.24,20,253
3,148,345,221,289,1.27,32,275
0,384,99,40,881,1.49,31,162
3,364,374,240,849,1.24,44,338
3,492,249,173,432,0.73,3,218
2,91,385,153,600,1.39,34,290
0,221,354,278,610,0.99,36,316
2,463,244,207,688,0.7,20,242
4,266,168,267,162,1.11,14,234
3,472,73,259,392,1.45,17,175
0,25,67,49,253,0.91,31,89
4,36,174,106,727,1.09,39,225
4,402,330,216,162,0.84,29,263
0,192,216,342,565,0.75,24,279
4,269,208,87,755,0.76,30,198
2,225,120,72,953,1.28,5,189
2,215,238,331,359,1.39,28,297
2,470,266,339,107,0.81,3,243
3,65,393,91,751,0.93,43,284
4,390,299,164,101,0.86,40,226
3,447,254,234,159,0.72,23,237
4,335,366,100,991,1.14,18,293
4,209,187,141,876,1.26,33,241
0,96,375,162,736,1.22,29,290
1,347,166,238,851,1.01,32,253
3,245,77,135,167,1.14,24,131
2,91,184,167,180,0.78,12,175
0,192,77,129,370,0.82,5,110
0,481,73,275,121,1.45,14,182
2,147,356,87,899,1.31,24,260
3,105,324,111,150,1.44,20,214
0,347,111,117,589,1.43,23,163
0,115,339,320,868,1.22,13,370
0,461,55,332,761,1.44,42,238
2,432,135,195,311,1.03,17,164
0,492,291,88,523,0.7,38,182
2,458,142,274,593,0.75,18,240
2,137,300,192,791,0.79,21,240
2,121,353,303,483,0.78,27,302
3,184,54,151,356,0.98,13,174
2,245,38,349,815,1.26,11,258
3,442,377,290,897,1.33,18,339
3,372,222,109,540,1.17,36,201
4,329,217,264,125,0.82,8,218
3,441,201,128,550,1.3,20,209
2,330,190,148,900,0.98,30,248
2,201,285,117,990,0.71,32,258
1,218,244,251,460,0.92,20,240
2,268,90,121,235,0.96,5,131
0,62,261,238,614,0.92,2,248
4,376,277,220,847,1.35,22,282
4,333,72,272,950,1.31,36,235
0,370,169,347,146,1.26,3,208
3,276,322,42,361,0.81,40,181
0,395,258,346,529,1.35,31,284
3,475,80,73,188,1.24,2,101
0,293,44,203,897,0.86,16,169
2,233,245,145,200,1.22,11,155
3,70,200,238,698,1.09,42,258
3,393,385,263,926,1.05,25,338
2,453,223,306,716,0.79,15,265
4,355,374,164,786,1.11,13,311
3,435,109,329,336,0.78,26,211
1,433,195,139,844,0.83,2,210
3,403,81,103,476,0.81,13,127
3,261,242,157,155,1.46,9,200
1,67,99,203,429,0.93,28,173
3,21,212,247,414,0.98,30,250
4,118,157,298,569,0.96,22,252
4,226,98,109,338,1.42,8,152
3,376,65,133,516,1.15,17,145
3,238,219,330,485,1.44,38,286
1,31,380,176,394,0.94,10,276
3,120,103,114,726,0.79,9,175
1,490,179,345,374,1.14,6,240
2,494,113,179,789,0.98,37,200
1,201,329,345,325,1.34,7,310
1,406,183,324,878,1.4,27,284
0,365,390,320,428,1.08,44,325
4,467,120,220,136,1.48,29,176
0,446,59,287,234,1.14,19,159
0,321,245,337,825,0.92,10,280
4,209,271,123,884,1.09,2,246
2,320,396,51,290,0.73,8,205
2,173,352,139,641,1.34,42,269
3,187,357,237,616,0.78,8,326
1,312,264,209,220,0.95,2,220
0,294,163,64,506,1.15,37,167
3,298,188,213,724,0.73,19,242
0,204,79,94,970,0.76,17,181
2,216,189,196,862,1.26,32,245
4,24,164,218,188,0.76,24,170
4,308,43,237,313,1.08,41,173
1,296,105,167,493,0.97,22,173
3,468,227,166,235,0.88,32,191
3,262,166,250,613,0.85,39,245
2,244,397,272,107,1.31,21,309
0,52,207,290,202,1.46,14,248
1,114,384,143,142,0.81,43,245
3,182,274,171,365,1.47,11,227
